,tweet_id,favorite_count,retweet_count
319,832757312314028032,16760,3583
320,832682457690300417,11804,2879
321,832645525019123713,2910,525
322,832636094638288896,15754,2753
323,832397543355072512,11895,2194
324,832369877331693569,17099,3158
325,832273440279240704,11289,2319
326,832215909146226688,0,6148
327,832215726631055365,0,9232
328,832088576586297345,62,2
329,832040443403784192,0,9515
330,832032802820481025,17763,4612
331,831939777352105988,23854,6078
332,831926988323639298,334,34
333,831911600680497154,27445,6431
334,831670449226514432,10376,1801
335,831650051525054464,7089,1902
336,831552930092285952,8937,2299
337,831322785565769729,9239,1539
338,831315979191906304,6509,1118
339,831309418084069378,11702,2442
340,831262627380748289,11845,2023
341,830956169170665475,7935,1483
342,830583320585068544,66460,16596
343,830173239259324417,0,5635
344,830097400375152640,9748,2911
345,829878982036299777,0,4960
346,829861396166877184,12193,1922
347,829501995190984704,31593,10500
348,829449946868879360,10425,2003
349,829141528400556032,24297,7268
350,829011960981237760,53004,16202
351,828801551087042563,0,3399
352,828770345708580865,25495,5818
353,828708714936930305,36356,11086
354,828650029636317184,9480,1336
355,828409743546925057,6334,1158
356,828408677031882754,7657,1279
357,828381636999917570,12544,2203
358,828376505180889089,7352,1061
359,828372645993398273,12535,2910
360,828361771580813312,2188,173
361,828046555563323392,11715,2859
362,828011680017821696,10330,2137
363,827933404142436356,20018,5213
364,827653905312006145,15450,3007
365,827600520311402496,7444,934
366,827324948884643840,15809,3017
367,827199976799354881,10559,2211
368,826958653328592898,21519,4960
369,826848821049180160,36243,10087
370,826615380357632002,0,3964
371,826598799820865537,5117,250
372,826598365270007810,10021,2326
373,826476773533745153,18366,4165
374,826240494070030336,13264,2591
375,826204788643753985,4873,919
376,826115272272650244,15617,3093
377,825876512159186944,10466,1860
378,825829644528148480,12724,2478
379,825535076884762624,56788,17510
380,825147591692263424,18260,4518
381,825120256414846976,0,1244
382,825026590719483904,6292,1244
383,824796380199809024,0,5472
384,824775126675836928,14881,3497
385,824663926340194305,10511,1769
386,824325613288833024,11825,10507
387,824297048279236611,15047,3838
388,824025158776213504,4829,599
389,823939628516474880,10624,2697
390,823719002937630720,0,11147
391,823699002998870016,13987,2512
392,823581115634085888,13016,2613
393,823333489516937216,702,24
394,823322678127919110,15722,4006
395,823269594223824897,0,9856
396,822975315408461824,17328,3438
397,822872901745569793,131504,43083
398,822859134160621569,13255,2270
399,822647212903690241,0,6388
400,822610361945911296,14814,2945
401,822489057087389700,18175,6388
402,822462944365645825,27993,14235
403,822244816520155136,34972,9856
404,822163064745328640,0,4755
405,821886076407029760,11322,2297
406,821813639212650496,0,3359
407,821765923262631936,8418,1655
